Project ID	Street	Zip
PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20	682 OCEAN AVENUE	11226
PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20	816 OCEAN AVENUE	11226
PROSPECT PLAZA - SITE 3	428 SARATOGA AVENUE	11233
PROSPECT PLAZA APARTMENTS	135 PROSPECT AVENUE	11215
PROVIDENCE HOUSE. 178 HALSEY ST.AND 243 HANCOCK ST	178 HALSEY STREET	11216
PROVIDENCE HOUSE. 178 HALSEY ST.AND 243 HANCOCK ST	243 HANCOCK STREET	11216
PS 186 AKA BGCH (BOYS AND GIRLS CLUB OF HARLEM)	525 WEST 145 STREET	10031
PUTNAM	721 HANCOCK STREET	11233
PUTNAM	723 HANCOCK STREET	11233
PUTNAM	680 JEFFERSON AVENUE	11221
PUTNAM	684 JEFFERSON AVENUE	11221
PUTNAM	768 JEFFERSON AVENUE	11221
PUTNAM	660 MADISON STREET	11221
PUTNAM	668 MADISON STREET	11221
PUTNAM	828 PUTNAM AVENUE	11221
PUTNAM	186 MALCOLM X BOULEVARD	11221
PUTNAM	201 MALCOLM X BOULEVARD	11221
PUTNAM	205 MALCOLM X BOULEVARD	11221
PUTNAM	206 MALCOLM X BOULEVARD	11221
Park & 196th Street	310 EAST 196 STREET	10458
Park & 196th Street	4578 PARK AVENUE	10458
Park Avenue Thorpe	406 EAST 184 STREET	10458
Park Monroe II	1169 EAST NEW YORK AVENUE	11212
Park Monroe II	342 LAFAYETTE AVENUE	11238
Park Monroe II	862 MACON STREET	11233
Park Monroe II	864 MACON STREET	11233
Park Monroe II	868 MACON STREET	11233
Park Monroe II	1939 PARK PLACE	11233
Park Monroe II	495 PUTNAM AVENUE	11221
Park Monroe II	1920 UNION STREET	11233
Park Monroe II	1933 UNION STREET	11233
Phipps Plaza South/KB25 Article XI	325 EAST 25 STREET	10010
Phipps. 760-770 East Tremont.Lee Goodwin Residence	1950 PROSPECT AVENUE	10457
Pio Mendez / VIP	1291 LAFAYETTE AVENUE	10474
Pio Mendez / VIP	1876 BELMONT AVENUE	10457
Pitkin Berriman	2501 PITKIN AVENUE	11208
Praxis. 2270 Loring Place North	2264 LORING PLACE NORTH	10468
Prince George Hotel	10 EAST 28 STREET	10016
Promenade Apartments	150 WEST 225 STREET	10463
Promesa Housing Development Fund Corporation	946 ANDERSON AVENUE	10452
Promesa Housing Development Fund Corporation	1705 ANTHONY AVENUE	10457
Promesa Housing Development Fund Corporation	1680 CLAY AVENUE	10457
Promesa Housing Development Fund Corporation	934 OGDEN AVENUE	10452
Promesa Housing Development Fund Corporation	1087 SUMMIT AVENUE	10452
Promesa Housing Development Fund Corporation	1707 TOPPING AVENUE	10457
Promesa Housing Development Fund Corporation	88 WEST 169 STREET	10452
Prospect Plaza - Site 2	396 SARATOGA AVENUE	11233
Prospect Plaza - Site 2	1750 PROSPECT PLACE	11233
Prospect Plaza Redevelopment	1765 PROSPECT PLACE	11233
Prospect Plaza Redevelopment	1751 PROSPECT PLACE	11233
QUINCY SENIOR RESIDENCES, L.P.	625 QUINCY STREET	11221
RADROC	19-38 CORNAGA AVENUE	11691
RADROC	18-Oct BEACH 20 STREET	
RAINBOW PLZ	575 EAST 140 STREET	10454
RAVEN HALL TOWER	2006 SURF AVENUE	11224
RB HARMAN HDFC.GHPP.FY19	251 HARMAN STREET	11237
RB HARMAN HDFC.GHPP.FY19	73 LINDEN STREET	11221
RB.63-85 E 233RD ST.WOODLAWN SENIOR HOUSES	69 EAST 233 STREET	10470
RBSCC.297 Wilson Ave. Plaza de los Ancianos	297 WILSON AVENUE	11237
REBIRTH REALTY CORP HDFC.HPO.FY18	1644 ANTHONY AVENUE	10457
REBIRTH REALTY CORP HDFC.HPO.FY18	2407 VALENTINE AVENUE	10458
REBIRTH REALTY CORP HDFC.HPO.FY18	2411 VALENTINE AVENUE	10458
REBIRTH REALTY CORP HDFC.HPO.FY18	2415 VALENTINE AVENUE	10458
REBIRTH REALTY CORP HDFC.HPO.FY18	2417 VALENTINE AVENUE	10458
RECLAIM HDFC.YR15.FY21	2100 CROTONA PARKWAY	10460
RECLAIM HDFC.YR15.FY21	503 EAST 180 STREET	10457
RECLAIM HDFC.YR15.FY21	308 EAST 183 STREET	10458
RECLAIM HDFC.YR15.FY21	314 EAST 183 STREET	10458
RECLAIM HDFC.YR15.FY21	2042 GRAND AVENUE	10453
RECLAIM HDFC.YR15.FY21	2125 SOUTHERN BOULEVARD	10460
RECLAIM HDFC.YR15.FY21	1821 DR M L KING JR BOULEVARD	10453
RECLAIM HDFC.YR15.FY21	1982 DR M L KING JR BOULEVARD	10453
RECLAIM HDFC.YR15.FY21	2242 VALENTINE AVENUE	10457
RECLAIM HDFC.YR15.FY21	2317 TIEBOUT AVENUE	10458
RED HOOK GARDENS-ARTICLE XI	88 COFFEY STREET	11231
RED HOOK GARDENS-ARTICLE XI	92 COFFEY STREET	11231
RED HOOK GARDENS-ARTICLE XI	9 DWIGHT STREET	11231
RED HOOK GARDENS-ARTICLE XI	71 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	81 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	89 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	75 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	77 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	79 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	85 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	87 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	93 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	97 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	95 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	99 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	73 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	83 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	91 VISITATION PLACE	11231
RED HOOK GARDENS-ARTICLE XI	15 DWIGHT STREET	11231
RED HOOK GARDENS-ARTICLE XI	17 DWIGHT STREET	11231
RED HOOK GARDENS-ARTICLE XI	19 DWIGHT STREET	11231
RED HOOK GARDENS-ARTICLE XI	13 DWIGHT STREET	11231
RED HOOK GARDENS-ARTICLE XI	86 COFFEY STREET	11231
RED HOOK GARDENS-ARTICLE XI	90A COFFEY STREET	11231
RED HOOK GARDENS-ARTICLE XI	2 VERONA STREET	11231
RED HOOK GARDENS-ARTICLE XI	4 VERONA STREET	11231
RED HOOK GARDENS-ARTICLE XI	6 VERONA STREET	11231
RED HOOK GARDENS-ARTICLE XI	10 VERONA STREET	11231
RED HOOK GARDENS-ARTICLE XI	12 VERONA STREET	11231
RED HOOK GARDENS-ARTICLE XI	94 COFFEY STREET	11231
RED HOOK GARDENS-ARTICLE XI	88 1/2 COFFEY STREET	11231
RENEWAL HDFC.GHPP.FY17	2621 BRIGGS AVENUE	10458
RENEWAL HDFC.GHPP.FY17	62 EAST 190 STREET	10468
RENEWAL HDFC.GHPP.FY17	353 EAST 193 STREET	10458
RENEWAL HDFC.GHPP.FY17	364 EAST 197 STREET	10458
RENEWAL HDFC.GHPP.FY17	2666 VALENTINE AVENUE	10458
RENEWAL HDFC.GHPP.FY17	2690 VALENTINE AVENUE	10458
RENEWAL HDFC.GHPP.FY17	2698 VALENTINE AVENUE	10458
RESIDENCES AT THE GEMINI EAST	114-30 ROCKAWAY BEACH BOULEVARD	11694
RESIDENCES AT THE GEMINI WEST	114-16 ROCKAWAY BEACH BOULEVARD	11694
RICOS PLACE HDFC.YR15.FY18	804 CLASSON AVENUE	11238
RISEBORO. 37 HILLSIDE AVENUE	37 HILLSIDE AVENUE	10040
RIVER CROSSING OWNER HDFC.HPO.FY20	1952 1 AVENUE	10029
RIVER CROSSING OWNER HDFC.HPO.FY20	420 EAST 102 STREET	10029
RIVER CROSSING OWNER HDFC.HPO.FY20	1962 1 AVENUE	10029
RIVER TERRACE.HRP.FY19	156-20 RIVERSIDE DRIVE WEST	10032
RIVERBEND HOUSING COMPANY, INC.	2289 5 AVENUE	10037
RIVERBEND HOUSING COMPANY, INC.	2301 5 AVENUE	10037
RIVERBEND HOUSING COMPANY, INC.	2311 5 AVENUE	10037
RIVERBEND HOUSING COMPANY, INC.	2333 5 AVENUE	10037
RIVERSIDE CENTER, BUILDING 1	400 WEST 61 STREET	10023
RIVERSIDE CENTER, BUILDING 3	675 WEST 59 STREET	10019
RIVERSIDE CENTER, BUILDING 4	663 WEST 59 STREET	10019
RIVERWALK 8	460 MAIN STREET	10044
ROBESON APARTMENTS HDFC.HUDMF.FY18	1990 ADAM C POWELL BOULEVARD	10026
ROBESON APARTMENTS HDFC.HUDMF.FY18	1995 ADAM C POWELL BOULEVARD	10026
ROCHDALE VILLAGE.HRP.FY21	168-10 127 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	168-20 127 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	168-30 127 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	168-40 127 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	163-15 130 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	163-25 130 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	163-35 130 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	163-45 130 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	170-10 130 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	170-20 130 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	170-30 130 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	170-40 130 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	172-10 133 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	172-20 133 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	172-30 133 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	172-40 133 AVENUE	11434
ROCHDALE VILLAGE.HRP.FY21	134-15 166 PLACE	11434
ROCHDALE VILLAGE.HRP.FY21	134-35 166 PLACE	11434
ROCHDALE VILLAGE.HRP.FY21	134-45 166 PLACE	11434
ROCHDALE VILLAGE.HRP.FY21	134-25 166 PLACE	11434
ROCHESTER SUYDAM PHASE 1	335 RALPH AVENUE	11233
ROCHESTER SUYDAM PHASE 1	35 ROCHESTER AVENUE	11233
ROCHESTER SUYDAM PHASE 1	18-22 SUYDAM PLACE	11233
ROCHESTER SUYDAM PHASE 1	329/331 RALPH AVENUE	
ROCKAWAY VILLAGE PHASE 1 (RITA STARK SITE)	20-02 MOTT AVENUE	11691
ROCKAWAY VILLAGE PHASE 1B (RITA STARK SITE)	20-52 MOTT AVENUE	11691
ROCKAWAY VILLAGE PHASE 1B (RITA STARK SITE)	20-10 MOTT AVENUE	11691
ROCKAWAY VILLAGE PHASE 3	1721 REDFERN AVENUE	11691
RODNEY DRIGGS AND SOUTH THIRD STREET HDFC.YR15.FY19	778 DRIGGS AVENUE	11211
RODNEY DRIGGS AND SOUTH THIRD STREET HDFC.YR15.FY19	296 SOUTH 3 STREET	11211
RODNEY DRIGGS AND SOUTH THIRD STREET HDFC.YR15.FY19	334 SOUTH 3 STREET	11211
ROGERS TOWER APARTMENTS	986 ROGERS AVENUE	11226
ROOSEVELT PARC APARTMENTS	37-46 72 STREET	11372
ROSE CASTLE	33 LITTLE NASSAU STREET	11205
RUPPERT HOUSE	235 EAST 92 STREET	10128
RUPPERT HOUSE	222 EAST 93 STREET	10128
RUPPERT HOUSE	1779 2 AVENUE	10128
RUTLAND ROAD APARTMENTS	664 RUTLAND ROAD	11203
RUTLAND ROAD APARTMENTS	668 RUTLAND ROAD	11203
Randolph Houses Phase II	265 WEST 114 STREET	10026
Riverton Square	2225 5 AVENUE	10037
Riverton Square	45 EAST 135 STREET	10037
Riverton Square	10 EAST 138 STREET	10037
Riverton Square	2255 FIFTH AVENUE	10037
Riverton Square	2156 MADISON AVENUE	10037
Riverton Square	2171 MADISON AVENUE	10037
Riverton Square	2190 MADISON AVENUE	10037
Rose Ellen Smith MBD HDFC	1711 HOE AVENUE	10460
Rose Ellen Smith MBD HDFC	1131 WEST FARMS ROAD	10459
Rutland Road Houses	60 EAST 93 STREET	11212
SAINT JAMES TERRACE	2500 JEROME AVENUE	10468
SAINT MARKS APARTMENTS	618 BUSHWICK AVENUE	11206
SAINT MARKS APARTMENTS HDFC.HUDMF.FY18	959 ST MARKS AVENUE	11213
SAVANNA HALL	446 WEST 163 STREET	10032
SEA BREEZE TOWER	271 SEA BREEZE AVENUE	11224
SEA RISE II � NEW BAY PARK	2750 WEST 33 STREET	11224
SEAGIRT SENIOR HOUSING HDFC	19-15 SEAGIRT BOULEVARD	11691
SEAVIEW TOWERS	331 BEACH 31 STREET	11691
SECOND ATLANTIC TERMINAL HOUSING CORPORATION	475 CARLTON AVENUE	11238
SECOND FARMS	1932 BRYANT AVENUE	10460
SENDERO VERDE A	50 EAST 112 STREET	10029
SENDERO VERDE B	60 EAST 112 STREET	10029
SENDERO VERDE B	75 EAST 111 STREET	10029
SEVENTEENTH STREET HDFC.YR15.FY20	105 WEST 17 STREET	10011
SHERMAN CLUSTER HDFC.YR15.FY21	149 EAST 165 STREET	10452
SHERMAN CLUSTER HDFC.YR15.FY21	200 EAST 166 STREET	10456
SHERMAN CLUSTER HDFC.YR15.FY21	1322 MORRIS AVENUE	10456
SHERMAN CLUSTER HDFC.YR15.FY21	1060 SHERMAN AVENUE	10456
SHERMAN CLUSTER HDFC.YR15.FY21	1194 SHERMAN AVENUE	10456
SHERMAN CLUSTER HDFC.YR15.FY21	1345 TELLER AVENUE	10456
SKA MARIN. 1918 FIRST AVE. DRAPER HALL	1918 1 AVENUE	10029
SOBRO. 988 WASHINGTON AVE. NEW ROADS PLAZA	986 WASHINGTON AVENUE	10456
SOMERS APARTMENTS	62 SOMERS STREET	11233
SOMERS APARTMENTS	66 SOMERS STREET	11233
SOUNDVIEW HOMES - PHASE III	1739 LACOMBE AVENUE	10473
SOUNDVIEW HOMES - PHASE III	1735 LACOMBE AVENUE	10473
SOUNDVIEW HOMES - PHASE III	1731 LACOMBE AVENUE	10473
SOUNDVIEW HOMES - PHASE III	1727 LACOMBE AVENUE	
SOUNDVIEW HOMES - PHASE III	1723 LACOMBE AVENUE	
SOUNDVIEW HOMES - PHASE III	1719 LACOMBE AVENUE	
SOUNDVIEW HOMES - PHASE III	1715 LACOMBE AVENUE	10473
SOUNDVIEW HOMES - PHASE III	351 BRONX RIVER AVENUE	
SOUNDVIEW HOMES - PHASE III	359 BRONX RIVER AVENUE	
SOUNDVIEW HOMES - PHASE III	355 BRONX RIVER AVENUE	
SOUTH BROOKLYN RENEWAL PERMANENT AFFORDABILITY	143 COLUMBIA STREET	11231
SOUTH BROOKLYN RENEWAL PERMANENT AFFORDABILITY	149 COLUMBIA STREET	11231
SOUTH BROOKLYN RENEWAL PERMANENT AFFORDABILITY	151 COLUMBIA STREET	11231
SOUTH BROOKLYN RENEWAL PERMANENT AFFORDABILITY	159 COLUMBIA STREET	11231
SOUTH BROOKLYN RENEWAL PERMANENT AFFORDABILITY	165 COLUMBIA STREET	11231
SOUTH BROOKLYN RENEWAL PERMANENT AFFORDABILITY	201 COLUMBIA STREET	11231
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	3817 CARPENTER AVENUE	10467
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	305 ATKINS AVENUE	11208
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	349 BERRIMAN STREET	11208
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	140 EAST 91 STREET	11212
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	580 LAFAYETTE AVENUE	11205
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	110 WAVERLY AVENUE	11205
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	99 WAVERLY AVENUE	11205
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	143-03 105 AVENUE	11435
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	144-29 105 AVENUE	11435
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	171-40 105 AVENUE	11433
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	185-10 141 AVENUE	11413
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	118-35 153 STREET	11434
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	114-22 166 STREET	11434
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	144-23 166 STREET	11434
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	146-23 176 STREET	11434
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	119-12 219 STREET	11411
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	69-33 BAYFIELD AVENUE	11692
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	231 FERNSIDE PLACE	11691
SOUTHEASTERN QUEENS VACANT HOMES - CLUSTER III	113-44 SPRINGFIELD BOULEVARD	11429
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	32-10 102 STREET	11369
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	223-19 111 AVENUE	11429
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	190-17 115 DRIVE	11412
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	197-18 116 AVENUE	11412
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	168-31 118 ROAD	11434
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	168-32 119 AVENUE	11434
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	198-14 119 AVENUE	11412
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	171-48 119 ROAD	11434
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	177-19 120 AVENUE	11434
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	222-33 143 ROAD	11413
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	171-15 144 AVENUE	11434
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	144-41 158 STREET	11434
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	80-44 162 STREET	11432
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	118-19 190 STREET	11412
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	117-27 204 STREET	11412
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	114-26 208 STREET	11411
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	89-55 208 STREET	11427
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	177-48 BAISLEY BOULEVARD	11434
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I	186-20 FOCH BOULEVARD	11412
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	580 LAFAYETTE AVENUE	11205
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	145-36 111 AVENUE	11435
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	210-33 113 AVENUE	11429
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	150-22 118 AVENUE	11434
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	133-18 134 STREET	11420
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	129-23 135 PLACE	11420
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	130-15 135 PLACE	11420
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	117-31 135 STREET	11420
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	129-41 135 STREET	11420
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	129-59 135 STREET	11420
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	116-02 139 STREET	11436
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	115-41 147 STREET	11436
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	130-16 149 STREET	11436
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	89-24 168 PLACE	11432
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	111-14 169 STREET	11433
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	102-47 187 STREET	11423
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	167-08 110 AVENUE	11433
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	114-47 INWOOD STREET	11436
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	103-16 PLATTWOOD AVENUE	11417
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	107-34 PRINCETON STREET	11435
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	131-15 SUTTER AVENUE	11420
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	147-06 SUTTER AVENUE	11436
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	133-16 VAN WYCK EXPRESSWAY SR WEST	
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II	110-60 WOOD STREET	11412
SPOFFORD DETENTION CENTER PHASE 1	720 TIFFANY STREET	10474
SPRING CREEK PHASE 4B-1	475 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	479 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	481 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	483 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	485 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	487 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	489 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	491 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	493 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	495 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	497 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	494 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	496 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	498 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	500 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	502 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	504 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	506 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	508 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-1	510 VANDALIA AVENUE	11239
SPRING CREEK PHASE 4B-2	127 GATEWAY DRIVE	11239
SPRING CREEK PHASE 4B-2	129 GATEWAY DRIVE	11239
SPRING CREEK PHASE 4B-2	392 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	396 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	398 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	400 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	402 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	389 SCHROEDERS AVENUE	
SPRING CREEK PHASE 4B-2	401 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	1123 ASHFORD STREET	11239
SPRING CREEK PHASE 4B-2	1121 ASHFORD STREET	11239
SPRING CREEK PHASE 4B-2	1119 ASHFORD STREET	11239
SPRING CREEK PHASE 4B-2	1117 ASHFORD STREET	11239
SPRING CREEK PHASE 4B-2	1115 ASHFORD STREET	11239
SPRING CREEK PHASE 4B-2	11113 ASHFORD STREET	
SPRING CREEK PHASE 4B-2	1111 ASHFORD STREET	11239
SPRING CREEK PHASE 4B-2	498 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	500 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	502 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	504 SCHROEDERS AVENUE	11239
SPRING CREEK PHASE 4B-2	516 SCHROEDERS AVENUE	11239
ST. ANN'S APARTMENTS LLC.YR15.FY20	570 EAST 138 STREET	10454
ST. ANN'S APARTMENTS LLC.YR15.FY20	590 EAST 138 STREET	10454
ST. ANN'S APARTMENTS LLC.YR15.FY20	839 EAST 156 STREET	10455
ST. ANN'S APARTMENTS LLC.YR15.FY20	590 EAST 169 STREET	10456
ST. ANN'S APARTMENTS LLC.YR15.FY20	1061 INTERVALE AVENUE	10459
ST. ANN'S APARTMENTS LLC.YR15.FY20	946 LEGGETT AVENUE	10455
ST. AUGUSTINE APARTMENTS	1180 FULTON AVENUE	10456
ST. BARNABAS WELLNESS CARE & AFFORDABLE HOUSING	4439 3 AVENUE	10457
ST. BARNABAS WELLNESS CARE & AFFORDABLE HOUSING	4511 3 AVENUE	10457
ST. FRANCIS	1540 SHAKESPEARE AVENUE	10452
ST. LUCY'S APARTMENTS	315 EAST 103 STREET	10029
ST. LUCY'S APARTMENTS	330 EAST 104 STREET	10029
STAGG 1 - AMANDA'S COVE.HPO.FY19	3475 BRUNER AVENUE	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	4183 LACONIA AVENUE	10466
STAGG 1 - AMANDA'S COVE.HPO.FY19	3210 OLINVILLE AVENUE	10467
STAGG 1 - AMANDA'S COVE.HPO.FY19	3214 OLINVILLE AVENUE	10467
STAGG 1 - AMANDA'S COVE.HPO.FY19	3212 OLINVILLE AVENUE	10467
STAGG 1 - AMANDA'S COVE.HPO.FY19	3471 BRUNER AVENUE	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	3473 BRUNER AVENUE	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	3469 BRUNER AVENUE	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	3612 BARNES AVENUE	10467
STAGG 1 - AMANDA'S COVE.HPO.FY19	2183 NEW ENGLAND THRUWAY	10475
STAGG 1 - AMANDA'S COVE.HPO.FY19	2185 NEW ENGLAND THRUWAY	10475
STAGG 1 - AMANDA'S COVE.HPO.FY19	2187 NEW ENGLAND THRUWAY	10475
STAGG 1 - AMANDA'S COVE.HPO.FY19	2189 NEW ENGLAND THRUWAY	10475
STAGG 1 - AMANDA'S COVE.HPO.FY19	1185 EAST 213 STREET	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	1183 EAST 213 STREET	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	1184 EAST 214 STREET	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	2182 REEDS MILL LANE	10475
STAGG 1 - AMANDA'S COVE.HPO.FY19	2184 REEDS MILL LANE	10475
STAGG 1 - AMANDA'S COVE.HPO.FY19	2186 REEDS MILL LANE	10475
STAGG 1 - AMANDA'S COVE.HPO.FY19	2188 REEDS MILL LANE	10475
STAGG 1 - AMANDA'S COVE.HPO.FY19	1186 EAST 214 STREET	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	3628 EASTCHESTER ROAD	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	3632 EASTCHESTER ROAD	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	3561 BRONXWOOD AVENUE	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	3563 BRONXWOOD AVENUE	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	3630 EASTCHESTER ROAD	10469
STAGG 1 - AMANDA'S COVE.HPO.FY19	1149 EAST 224 STREET	10466
STAGG 1 - AMANDA'S COVE.HPO.FY19	1151 EAST 224 STREET	10466
STAGG 1 - AMANDA'S COVE.HPO.FY19	1147 EAST 224 STREET	10466
